iter	RMSE
0	5.196303163
1	4.969894269
2	4.779333925
3	4.611262211
4	4.468750108
5	4.333840882
6	4.216474976
7	4.121819115
8	4.044415967
9	3.972073706
10	3.912014161
11	3.855968524
12	3.806711329
13	3.761713494
14	3.721012927
15	3.685509501
16	3.655203927
17	3.628253648
18	3.601283829
19	3.578309868
20	3.55831464
21	3.537528479
22	3.519830529
23	3.503199717
24	3.489774552
25	3.477603304
26	3.466310771
27	3.454953986
28	3.444861759
29	3.435687479
30	3.426350605
31	3.417143964
32	3.409471154
33	3.402111511
34	3.395546307
35	3.389802622
36	3.382694445
37	3.376956603
38	3.369527672
39	3.364143619
40	3.358931014
41	3.353255791
42	3.348047247
43	3.345033429
44	3.340487477
45	3.336622317
46	3.331767867
47	3.326772584
48	3.322295608
49	3.317931464
50	3.315514511
51	3.31076653
52	3.307894902
53	3.303974067
54	3.298397192
55	3.29602419
56	3.293228689
57	3.290581801
58	3.287197821
59	3.283248663
60	3.279476321
61	3.277181873
62	3.273033947
63	3.269646982
64	3.268021252
65	3.264088981
66	3.257840901
67	3.255542836
68	3.253300928
69	3.25095213
70	3.249262379
71	3.246727154
72	3.243420056
73	3.240889742
74	3.239145867
75	3.234300498
76	3.231937524
77	3.229940819
78	3.227881154
79	3.225105721
80	3.22385627
81	3.222831854
82	3.220788414
83	3.215560298
84	3.214417995
85	3.211463069
86	3.210197822
87	3.207522144
88	3.206050193
89	3.204883258
90	3.202585287
91	3.198792696
92	3.197549756
93	3.195532081
94	3.195002957
95	3.191273603
96	3.188036592
97	3.185626605
98	3.183870395
99	3.183212454
100	3.181802471
101	3.180590073
102	3.179045842
103	3.176764684
104	3.176070461
105	3.173708309
106	3.172829246
107	3.170620525
108	3.166871401
109	3.165885837
110	3.16513285
111	3.163325986
112	3.161220638
113	3.159402045
114	3.157333644
115	3.154772595
116	3.152610088
117	3.149436452
118	3.14672956
119	3.144208813
120	3.142131404
121	3.140562994
122	3.138113642
123	3.136348882
124	3.135296027
125	3.133241677
126	3.130902747
127	3.128675841
128	3.126736136
129	3.125659895
130	3.124005251
131	3.12290836
132	3.120841573
133	3.119685059
134	3.118324961
135	3.116749065
136	3.115557938
137	3.11397915
138	3.111695792
139	3.110626555
140	3.110023501
141	3.108880932
142	3.107003297
143	3.105345903
144	3.102874102
145	3.101470984
146	3.100410521
147	3.098903803
148	3.096451476
149	3.095552666
150	3.094424141
151	3.092968934
152	3.092104265
153	3.091112742
154	3.090257217
155	3.08926225
156	3.088360053
157	3.087065901
158	3.086232089
159	3.084703129
160	3.083501391
161	3.081549782
162	3.080255551
163	3.07987061
164	3.079034997
165	3.078289585
166	3.077058406
167	3.076354701
168	3.075285016
169	3.074447884
170	3.073306887
171	3.071349568
172	3.070171895
173	3.069718242
174	3.068982476
175	3.066897744
176	3.066133
177	3.065569274
178	3.063869158
179	3.062647301
180	3.061257259
181	3.060167342
182	3.058506292
183	3.05721427
184	3.055215522
185	3.054859224
186	3.054153284
187	3.052474284
188	3.051957631
189	3.050639644
190	3.048941222
191	3.048019587
192	3.046837503
193	3.046284926
194	3.045084962
195	3.044761936
196	3.043970539
197	3.042570789
198	3.041646928
199	3.040783551
