iter	Passed	Remaining
0	51	10189
1	104	10325
2	167	11030
3	233	11440
4	305	11933
5	380	12296
6	442	12198
7	506	12146
8	572	12149
9	633	12042
10	702	12069
11	771	12085
12	846	12169
13	919	12210
14	994	12268
15	1052	12100
16	1105	11899
17	1171	11844
18	1238	11802
19	1340	12068
20	1419	12103
21	1508	12201
22	1603	12339
23	1663	12195
24	1721	12048
25	1786	11953
26	1843	11808
27	1901	11681
28	1960	11561
29	2019	11443
30	2082	11353
31	2134	11205
32	2191	11092
33	2252	10996
34	2310	10892
35	2366	10780
36	2422	10672
37	2488	10607
38	2546	10511
39	2614	10459
40	2680	10395
41	2738	10301
42	2801	10229
43	2851	10108
44	2911	10029
45	2964	9925
46	3032	9871
47	3099	9813
48	3153	9718
49	3215	9647
50	3267	9547
51	3332	9484
52	3386	9392
53	3440	9302
54	3502	9232
55	3550	9128
56	3604	9043
57	3653	8945
58	3713	8875
59	3776	8810
60	3842	8755
61	3906	8694
62	3970	8633
63	4030	8564
64	4098	8511
65	4169	8465
66	4249	8436
67	4318	8382
68	4381	8319
69	4446	8257
70	4504	8184
71	4569	8123
72	4632	8059
73	4699	8002
74	4773	7955
75	4861	7931
76	4941	7894
77	5004	7827
78	5063	7756
79	5147	7721
80	5230	7684
81	5327	7666
82	5419	7639
83	5493	7586
84	5545	7502
85	5601	7425
86	5650	7338
87	5712	7270
88	5781	7210
89	5865	7169
90	5944	7120
91	6017	7064
92	6184	7115
93	6256	7055
94	6340	7007
95	6444	6982
96	6538	6943
97	6614	6884
98	6684	6819
99	6741	6741
100	6793	6659
101	6857	6588
102	6912	6509
103	6966	6431
104	7027	6358
105	7279	6454
106	7376	6411
107	7468	6362
108	7534	6290
109	7593	6212
110	7659	6141
111	7737	6079
112	7789	5997
113	7841	5915
114	7909	5845
115	7988	5784
116	8043	5706
117	8097	5627
118	8155	5551
119	8222	5481
120	8275	5403
121	8324	5322
122	8385	5249
123	8439	5172
124	8499	5099
125	8564	5029
126	8640	4966
127	8699	4893
128	8763	4823
129	8822	4750
130	8898	4686
131	8954	4612
132	9010	4538
133	9064	4464
134	9131	4396
135	9211	4334
136	9289	4271
137	9363	4206
138	9445	4144
139	9516	4078
140	9580	4008
141	9658	3944
142	9725	3876
143	9777	3802
144	9842	3733
145	9908	3664
146	9974	3596
147	10040	3527
148	10091	3454
149	10154	3384
150	10208	3312
151	10273	3244
152	10333	3174
153	10391	3103
154	10450	3033
155	10504	2962
156	10568	2894
157	10616	2822
158	10686	2755
159	10762	2690
160	10824	2622
161	10874	2550
162	10926	2480
163	10993	2413
164	11073	2348
165	11155	2284
166	11226	2218
167	11310	2154
168	11380	2087
169	11459	2022
170	11528	1955
171	11590	1886
172	11644	1817
173	11707	1749
174	11767	1681
175	11840	1614
176	11909	1547
177	11986	1481
178	12052	1413
179	12123	1347
180	12193	1279
181	12269	1213
182	12327	1145
183	12390	1077
184	12452	1009
185	12494	940
186	12554	872
187	12603	804
188	12655	736
189	12709	668
190	12766	601
191	12820	534
192	12875	466
193	12923	399
194	12978	332
195	13038	266
196	13086	199
197	13139	132
198	13198	66
199	13250	0
